CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.57%,257.5MiB / 1.941GiB,12.96%,2.86kB / 950B,55.5MB / 28.7kB,44
0.41%,257.5MiB / 1.941GiB,12.96%,3.01kB / 950B,55.5MB / 28.7kB,44
0.56%,257.6MiB / 1.941GiB,12.96%,3.86kB / 1.4kB,55.5MB / 28.7kB,44
0.32%,257.6MiB / 1.941GiB,12.96%,3.86kB / 1.4kB,55.5MB / 28.7kB,44
0.45%,257.6MiB / 1.941GiB,12.96%,3.94kB / 1.49kB,55.5MB / 28.7kB,44
0.51%,257.5MiB / 1.941GiB,12.96%,3.94kB / 1.49kB,55.5MB / 28.7kB,44
0.32%,256.3MiB / 1.941GiB,12.89%,4.03kB / 1.49kB,55.5MB / 28.7kB,44
0.53%,256.2MiB / 1.941GiB,12.89%,4.03kB / 1.49kB,55.5MB / 28.7kB,44
2.09%,254MiB / 1.941GiB,12.78%,5.38kB / 2.4kB,55.5MB / 28.7kB,44
48.25%,259.1MiB / 1.941GiB,13.04%,7.5kB / 4.2kB,57.8MB / 28.7kB,44
0.52%,261.3MiB / 1.941GiB,13.15%,7.5kB / 4.2kB,57.8MB / 28.7kB,44
0.66%,256.6MiB / 1.941GiB,12.91%,7.54kB / 4.2kB,57.8MB / 28.7kB,44
23.90%,258.8MiB / 1.941GiB,13.02%,9.33kB / 5.8kB,58.6MB / 28.7kB,45
0.42%,258.8MiB / 1.941GiB,13.02%,10kB / 6.49kB,58.6MB / 28.7kB,45
0.53%,258.9MiB / 1.941GiB,13.03%,10.9kB / 7.2kB,58.6MB / 28.7kB,45
0.54%,258.8MiB / 1.941GiB,13.02%,10.9kB / 7.24kB,58.6MB / 28.7kB,45
0.59%,258.9MiB / 1.941GiB,13.03%,12.3kB / 8.65kB,58.6MB / 28.7kB,45
2.33%,258.9MiB / 1.941GiB,13.03%,13.5kB / 10.1kB,58.6MB / 28.7kB,45
11.82%,259.4MiB / 1.941GiB,13.05%,16.5kB / 12.8kB,59.1MB / 28.7kB,45
0.53%,259.4MiB / 1.941GiB,13.05%,17.8kB / 13.9kB,59.1MB / 28.7kB,45
0.40%,259.4MiB / 1.941GiB,13.05%,17.8kB / 13.9kB,59.1MB / 28.7kB,45
2.85%,259.5MiB / 1.941GiB,13.06%,19.1kB / 15.2kB,59.1MB / 28.7kB,45
2.50%,259.7MiB / 1.941GiB,13.07%,20.4kB / 16.9kB,59.1MB / 28.7kB,45
1.81%,259.8MiB / 1.941GiB,13.07%,22kB / 18.3kB,59.1MB / 28.7kB,45
0.43%,259.5MiB / 1.941GiB,13.06%,25kB / 21kB,59.1MB / 28.7kB,45
2.49%,259.4MiB / 1.941GiB,13.05%,26.5kB / 22.2kB,59.1MB / 28.7kB,45
0.56%,259.5MiB / 1.941GiB,13.06%,27.1kB / 22.8kB,59.1MB / 28.7kB,45
0.50%,259.5MiB / 1.941GiB,13.06%,27.8kB / 23.5kB,59.1MB / 28.7kB,45
0.73%,259.6MiB / 1.941GiB,13.06%,29.2kB / 24.8kB,59.1MB / 28.7kB,45
1.98%,259.1MiB / 1.941GiB,13.04%,32kB / 28.8kB,59.1MB / 28.7kB,45
5.22%,259MiB / 1.941GiB,13.03%,35.6kB / 33.5kB,59.1MB / 28.7kB,45
1.59%,259.1MiB / 1.941GiB,13.04%,37.5kB / 35.1kB,59.1MB / 28.7kB,45
1.74%,260.9MiB / 1.941GiB,13.13%,39.7kB / 39kB,61.1MB / 28.7kB,45
2.71%,260.9MiB / 1.941GiB,13.13%,41.3kB / 40.3kB,61.1MB / 28.7kB,45
1.43%,261MiB / 1.941GiB,13.13%,42.7kB / 41.6kB,61.2MB / 28.7kB,45
4.26%,260.6MiB / 1.941GiB,13.11%,45.5kB / 44.1kB,61.2MB / 28.7kB,45
1.46%,260.1MiB / 1.941GiB,13.09%,46.8kB / 45.2kB,61.2MB / 28.7kB,45
2.90%,260.2MiB / 1.941GiB,13.09%,49.4kB / 50kB,61.2MB / 28.7kB,45
4.20%,260MiB / 1.941GiB,13.08%,53kB / 53.6kB,61.2MB / 28.7kB,45
2.24%,259.8MiB / 1.941GiB,13.07%,54.6kB / 54.9kB,61.2MB / 28.7kB,45
4.06%,259.5MiB / 1.941GiB,13.06%,58kB / 61.4kB,61.2MB / 28.7kB,45
7.96%,259.3MiB / 1.941GiB,13.05%,62.4kB / 69kB,61.3MB / 28.7kB,45
0.53%,259.4MiB / 1.941GiB,13.05%,63.1kB / 69.6kB,61.3MB / 28.7kB,45
35.47%,261.4MiB / 1.941GiB,13.16%,65.8kB / 72kB,61.3MB / 28.7kB,45
2.62%,261MiB / 1.941GiB,13.13%,69.2kB / 79kB,61.3MB / 28.7kB,45
12.92%,261.4MiB / 1.941GiB,13.15%,73.5kB / 91.4kB,61.3MB / 28.7kB,45
0.56%,260.8MiB / 1.941GiB,13.13%,76.3kB / 94kB,61.3MB / 28.7kB,45
1.13%,260.9MiB / 1.941GiB,13.13%,77.6kB / 95.1kB,61.3MB / 28.7kB,45
2.22%,261.2MiB / 1.941GiB,13.14%,81.9kB / 104kB,61.3MB / 28.7kB,45
4.14%,261.2MiB / 1.941GiB,13.14%,85.6kB / 107kB,61.3MB / 28.7kB,45
1.46%,260.7MiB / 1.941GiB,13.12%,88kB / 109kB,61.3MB / 28.7kB,45
2.45%,260.9MiB / 1.941GiB,13.13%,90kB / 111kB,61.3MB / 28.7kB,45
4.02%,260.6MiB / 1.941GiB,13.11%,92.8kB / 113kB,61.3MB / 28.7kB,45
11.65%,260.4MiB / 1.941GiB,13.10%,96.3kB / 123kB,61.3MB / 28.7kB,45
7.06%,260.3MiB / 1.941GiB,13.10%,103kB / 141kB,61.3MB / 28.7kB,45
4.00%,260.1MiB / 1.941GiB,13.09%,106kB / 151kB,61.4MB / 28.7kB,45
10.87%,259.2MiB / 1.941GiB,13.04%,109kB / 154kB,61.4MB / 28.7kB,45
4.07%,259.3MiB / 1.941GiB,13.05%,113kB / 157kB,61.4MB / 28.7kB,45
5.10%,259MiB / 1.941GiB,13.03%,118kB / 161kB,61.4MB / 28.7kB,45
4.43%,259.2MiB / 1.941GiB,13.04%,122kB / 181kB,61.4MB / 28.7kB,45
2.86%,261.3MiB / 1.941GiB,13.15%,123kB / 182kB,63.8MB / 28.7kB,45
9.56%,261.4MiB / 1.941GiB,13.15%,127kB / 185kB,63.9MB / 28.7kB,45
6.17%,261.2MiB / 1.941GiB,13.14%,133kB / 190kB,63.9MB / 28.7kB,45
0.45%,261MiB / 1.941GiB,13.13%,133kB / 190kB,63.9MB / 28.7kB,45
1.70%,260.6MiB / 1.941GiB,13.11%,136kB / 194kB,63.9MB / 28.7kB,45
6.22%,260.2MiB / 1.941GiB,13.09%,141kB / 207kB,63.9MB / 28.7kB,45
14.15%,260.3MiB / 1.941GiB,13.10%,145kB / 221kB,63.9MB / 28.7kB,45
5.24%,260.4MiB / 1.941GiB,13.11%,152kB / 237kB,63.9MB / 28.7kB,45
4.59%,260.6MiB / 1.941GiB,13.12%,158kB / 253kB,63.9MB / 28.7kB,45
24.10%,260.4MiB / 1.941GiB,13.10%,160kB / 267kB,63.9MB / 28.7kB,45
8.53%,260.7MiB / 1.941GiB,13.12%,168kB / 273kB,64.2MB / 28.7kB,45
0.48%,260MiB / 1.941GiB,13.08%,169kB / 274kB,64.2MB / 28.7kB,45
